"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33956","Blazedemo - Booking flight","chrome","Tue Mar 11 13:04:53 IST 2025","broken","Tue Mar 11 13:05:27 IST 2025","","BookFlight_Verify_Ticket.spec.js","",""
"","5197","Go to View All Order Page","chrome","Wed May 07 13:16:47 IST 2025","passed","Wed May 07 13:16:52 IST 2025","WebOrder E2E Test tests @sanity","WebOrder_Login_CallingBaseClass.spec.js","",""
"","10902","Flipcart Login Page Mouse Hover","chrome","Fri May 09 12:14:11 IST 2025","passed","Fri May 09 12:14:22 IST 2025","","Flipcart_Mouse_Hover.spec.js","",""
"","393","POST Request - Access Token","chrome","Fri Feb 21 13:11:18 IST 2025","passed","Fri Feb 21 13:11:19 IST 2025","Access Token","Authenticate_AToken_Negative.spec.js","",""
"","1289","Delete Order - Verify Order","chrome","Wed May 07 12:11:20 IST 2025","failed","Wed May 07 12:11:21 IST 2025","","WebOrder_Individual_TestBlock.spec.js","",""
"","44","Data Driven Testing Using JSON file in playwright Robotframework","chrome","Fri Feb 21 13:10:40 IST 2025","failed","Fri Feb 21 13:10:40 IST 2025","","datadriventestingjson.spec.js","",""
"","2580","Transfer Funds TC18","chrome","Fri Nov 29 11:04:35 IST 2024","passed","Fri Nov 29 11:04:38 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","7649","Drag and Drop Exp 1","chrome","Wed Nov 27 15:13:27 IST 2024","passed","Wed Nov 27 15:13:35 IST 2024","","Drag_Drop.spec.js","",""
"","6466","WebOrder: TC1","chrome","Thu May 08 12:07:07 IST 2025","passed","Thu May 08 12:07:13 IST 2025","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","2665","Transfer Funds TC30","chrome","Fri Nov 29 11:05:07 IST 2024","passed","Fri Nov 29 11:05:09 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","20","TO Test Login Functionality-Writtern Scripts","webkit","Wed May 07 10:08:29 IST 2025","skipped","Wed May 07 10:08:29 IST 2025","chromium only","Skip_Conditional_GroupLevel.spec.js","",""
"","7656","@regression OrangeHRM: TC5","chrome","Mon Mar 10 17:32:45 IST 2025","passed","Mon Mar 10 17:32:53 IST 2025","Admin -OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","46","OrangeHRM Login","chrome","Fri Feb 21 13:10:48 IST 2025","failed","Fri Feb 21 13:10:48 IST 2025","","OrangeHRM_Login.spec.js","",""
"","17403","@regression OrangeHRM: TC1","chrome","Mon Mar 10 17:32:06 IST 2025","passed","Mon Mar 10 17:32:24 IST 2025","Admin -OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","4489","TO Test Login Functionality-Writtern Scripts","chrome","Wed May 07 10:08:23 IST 2025","passed","Wed May 07 10:08:27 IST 2025","chromium only","Skip_Conditional_GroupLevel.spec.js","",""
"","2226","Transfer Funds TC3","chrome","Fri Nov 29 11:04:00 IST 2024","passed","Fri Nov 29 11:04:02 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","10252","BalzeDemo","webkit","Wed May 07 10:02:54 IST 2025","passed","Wed May 07 10:03:04 IST 2025","","Skip_Conditional_Blazedemo.spec.js","",""
"","13140","OrangeHRM: TC3","chrome","Thu May 08 10:48:16 IST 2025","passed","Thu May 08 10:48:29 IST 2025","","Read_DataFrom_JSON_OrangeHRMAPP.spec.js","",""
"","3465","WebOrder: TC3","chrome","Tue Apr 22 13:54:38 IST 2025","passed","Tue Apr 22 13:54:41 IST 2025","","ReadData_From_JSON_WebOrder_Login.spec.js","",""
"","2039","@regression WebOrder Login: TC2","chrome","Tue Apr 22 16:20:40 IST 2025","passed","Tue Apr 22 16:20:42 IST 2025","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","2086","WebOrder Login Functionality: TC2","chrome","Thu May 08 13:26:19 IST 2025","passed","Thu May 08 13:26:21 IST 2025","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","6778","Single Window","chrome","Tue Feb 18 16:03:39 IST 2025","passed","Tue Feb 18 16:03:46 IST 2025","","Single_Windows_Tabs_Example.spec.js","",""
"","1","Login to Weborders @smoke","chrome","Tue Apr 22 16:06:20 IST 2025","skipped","Tue Apr 22 16:06:20 IST 2025","Hooks Example for Screenshot","Screenshot_WebOrder_At_Script_Level.spec.js","",""
"","9154","Purchase Foreign Currency Cash - Australia (dollar): TC1","chrome","Thu Feb 20 16:56:53 IST 2025","passed","Thu Feb 20 16:57:02 IST 2025","Transfer Funds and Make Payment","PurchaseForeignCurrency.spec.js","",""
"","4724","WebOrder Login Functionality: TC1","chrome","Thu May 08 13:26:14 IST 2025","passed","Thu May 08 13:26:19 IST 2025","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","4726","Weborder: TC1","chrome","Tue Apr 22 15:46:43 IST 2025","passed","Tue Apr 22 15:46:48 IST 2025","","Read_DataFrom_Excel_WebordersAPP.spec.js","",""
"","2384","Transfer Funds TC14","chrome","Fri Nov 29 11:04:26 IST 2024","passed","Fri Nov 29 11:04:28 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","859","Create Order - Verify Order: TC7","chrome","Thu May 08 12:55:34 IST 2025","passed","Thu May 08 12:55:35 IST 2025","E2E WebOrder Application","ReadData_CreateOrder_All_Scenario_Using_Single_Locator.spec.js","",""
"","17670","@regression OrangeHRM: TC1","chrome","Tue Nov 26 16:23:40 IST 2024","passed","Tue Nov 26 16:23:57 IST 2024","OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","7544","@regression OrangeHRM: TC2","chrome","Tue Nov 26 16:23:57 IST 2024","passed","Tue Nov 26 16:24:05 IST 2024","OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","48","MFA Multi Factor Authentication Test","chrome","Fri Feb 21 13:10:44 IST 2025","failed","Fri Feb 21 13:10:44 IST 2025","","mfatest.spec.js","",""
"","0","Update Order - Verify Order","chrome","Fri Feb 21 13:11:09 IST 2025","skipped","Fri Feb 21 13:11:09 IST 2025","E2E WebOrder Application","WebOrder_Pre_Post_Condition.spec.js","",""
"","6088","Parameterize tests in playwright ScreenSaver","chrome","Wed Feb 19 16:39:11 IST 2025","passed","Wed Feb 19 16:39:17 IST 2025","","Parametrize_WebOrder_CreateOrder_Dropdown_Value.spec.js","",""
"","2","Login to Weborders @smoke","chrome","Tue Apr 22 16:06:20 IST 2025","skipped","Tue Apr 22 16:06:20 IST 2025","","Google_Auto_Search.spec.js","",""
